index,d__Bacteria,Unassigned,d__Archaea,d__Eukaryota,Insect Order
SRR12841903,31948,0,0,0,Hymenoptera
SRR12841904,27934,0,0,0,Hymenoptera
SRR12841905,16479,0,0,0,Hymenoptera
SRR12841906,17237,0,0,0,Hymenoptera
SRR10425508,5107,6,0,0,Hemiptera
SRR10425515,7603,0,0,0,Hemiptera
SRR10425520,5260,0,0,0,Hemiptera
SRR11962051,6856,1629,260,0,Lepidoptera
SRR11962052,5590,1069,129,0,Lepidoptera
SRR11962054,5491,1683,79,0,Lepidoptera
SRR11962055,2620,522,48,0,Lepidoptera
SRR11962056,2195,1080,102,0,Lepidoptera
SRR11962058,5278,1177,166,0,Lepidoptera
SRR11962059,5111,1335,111,0,Lepidoptera
SRR2922719,287,7063,0,0,Hymenoptera
SRR2922720,0,53550,0,0,Hymenoptera
SRR2922721,1219,63897,0,0,Hymenoptera
SRR2922722,86,21618,0,0,Hymenoptera
SRR2922723,51,54151,0,0,Hymenoptera
SRR2922724,259,85736,0,0,Hymenoptera
SRR2922725,25,23848,0,0,Hymenoptera
SRR2922727,12,18803,0,0,Hymenoptera
SRR2922728,35,55559,0,0,Hymenoptera
SRR2922730,0,15244,0,0,Hymenoptera
SRR2922731,565,135402,0,0,Hymenoptera
SRR2922734,68,58368,30,0,Hymenoptera
SRR2922735,0,53840,0,0,Hymenoptera
SRR2922736,266,68860,0,0,Hymenoptera
SRR2922737,0,114249,0,0,Hymenoptera
SRR2922738,265,31875,0,0,Hymenoptera
SRR2922739,6,23049,0,0,Hymenoptera
SRR2922740,41,32252,0,0,Hymenoptera
SRR2922741,0,15971,0,0,Hymenoptera
SRR2922742,125,104815,0,0,Hymenoptera
SRR2922743,0,50899,0,0,Hymenoptera
SRR2922744,0,5717,0,0,Hymenoptera
SRR2922745,0,7297,0,0,Hymenoptera
SRR2922746,45,16955,0,0,Hymenoptera
SRR2922747,0,11846,0,0,Hymenoptera
SRR2922749,41,11300,0,0,Hymenoptera
SRR2922750,0,9961,0,0,Hymenoptera
SRR2922751,0,7560,0,0,Hymenoptera
SRR2922752,153,34593,0,0,Hymenoptera
SRR2922753,4,14845,0,0,Hymenoptera
SRR2922754,36,19724,0,0,Hymenoptera
SRR2922755,33,15325,0,0,Hymenoptera
SRR2922756,42,8101,0,0,Hymenoptera
SRR2922757,33,11914,0,0,Hymenoptera
SRR2922758,239,28884,0,0,Hymenoptera
SRR2922759,86,24598,0,0,Hymenoptera
SRR2922760,0,83642,0,0,Hymenoptera
SRR2922761,71,45670,0,0,Hymenoptera
SRR2922762,0,43310,0,0,Hymenoptera
SRR2922763,22,44284,0,0,Hymenoptera
SRR2922764,0,64379,0,0,Hymenoptera
SRR2922765,58,33228,0,0,Hymenoptera
SRR2922766,247,124365,0,0,Hymenoptera
SRR2922767,1174,2733,0,0,Hymenoptera
SRR2922769,1193,37006,0,0,Hymenoptera
SRR2922770,20,40246,0,0,Hymenoptera
SRR2922771,99,29697,0,0,Hymenoptera
SRR2922772,1018,171789,0,0,Hymenoptera
SRR2922774,1736,84556,0,0,Hymenoptera
SRR2922776,0,3462,0,0,Hymenoptera
SRR2922777,17,18307,0,0,Hymenoptera
SRR2922778,0,18979,0,0,Hymenoptera
SRR2922779,16,16991,0,0,Hymenoptera
SRR2922780,0,10115,0,0,Hymenoptera
SRR2922781,71,13674,0,0,Hymenoptera
SRR2922782,8,8674,0,0,Hymenoptera
SRR2922783,22,9195,0,0,Hymenoptera
SRR2922784,0,7332,0,0,Hymenoptera
SRR2922786,0,11761,0,0,Hymenoptera
SRR2922787,112,48929,0,0,Hymenoptera
SRR2922788,0,21165,0,0,Hymenoptera
SRR2922789,275,41317,0,0,Hymenoptera
SRR2922790,0,36327,0,0,Hymenoptera
SRR2922791,274,54026,0,0,Hymenoptera
SRR2922792,130,28711,0,0,Hymenoptera
SRR2922793,1255,4093,0,40,Hymenoptera
SRR2922794,646,106666,0,0,Hymenoptera
SRR2922795,8,16776,0,0,Hymenoptera
SRR2922796,21,17643,0,0,Hymenoptera
SRR2922797,15,14881,0,0,Hymenoptera
SRR2922798,0,11758,0,0,Hymenoptera
SRR2922799,0,9296,0,0,Hymenoptera
SRR2922800,0,6965,0,0,Hymenoptera
SRR2922801,11,6306,0,0,Hymenoptera
SRR2922802,0,7418,0,0,Hymenoptera
SRR2922803,85,34299,0,0,Hymenoptera
SRR2922804,0,56427,0,0,Hymenoptera
SRR2922805,52,65079,0,0,Hymenoptera
SRR2922808,425,2082,0,0,Hymenoptera
SRR2922810,1071,23165,0,0,Hymenoptera
SRR2922812,131,87159,0,0,Hymenoptera
SRR2922813,0,21970,0,0,Hymenoptera
SRR2922814,0,23442,0,0,Hymenoptera
SRR2922815,42,40042,0,0,Hymenoptera
SRR2922816,0,22455,0,0,Hymenoptera
SRR2922817,0,25052,0,0,Hymenoptera
SRR2922818,0,17611,0,0,Hymenoptera
SRR2922820,0,32377,0,0,Hymenoptera
SRR2922821,51,48706,0,0,Hymenoptera
SRR2922823,113,49373,0,0,Hymenoptera
SRR2922824,148,44877,0,0,Hymenoptera
SRR2922825,505,2997,0,0,Hymenoptera
SRR2922826,0,5010,0,0,Hymenoptera
SRR2922827,939,8776,128,0,Hymenoptera
SRR2922828,85,195134,0,0,Hymenoptera
SRR2922829,18,9728,18,0,Hymenoptera
SRR2922830,0,13076,0,0,Hymenoptera
SRR2922831,0,14693,0,0,Hymenoptera
SRR2922832,125,11789,75,0,Hymenoptera
SRR2922833,35,26452,0,0,Hymenoptera
SRR2922834,0,17860,0,0,Hymenoptera
SRR2922835,7,7226,0,0,Hymenoptera
SRR2922836,0,14295,0,0,Hymenoptera
SRR2922837,11,11458,0,0,Hymenoptera
SRR2922838,0,5568,0,0,Hymenoptera
SRR2922839,301,153050,0,0,Hymenoptera
SRR2922840,0,3195,27,0,Hymenoptera
SRR2922841,0,5983,0,0,Hymenoptera
SRR2922842,0,3088,0,0,Hymenoptera
SRR2922843,0,11523,0,0,Hymenoptera
SRR2922844,50,6061,0,0,Hymenoptera
SRR2922846,0,5494,0,0,Hymenoptera
SRR2922847,0,5562,0,0,Hymenoptera
SRR2922848,0,9790,0,0,Hymenoptera
SRR4417693,2575,0,0,0,Coleoptera
SRR4417694,2388,0,0,0,Coleoptera
SRR4417695,20926,60,0,0,Coleoptera
SRR4417696,5019,0,0,0,Coleoptera
SRR4417697,8353,0,0,0,Coleoptera
SRR4417698,9794,34,0,0,Coleoptera
SRR4417699,3017,0,0,0,Coleoptera
SRR4417700,3251,12,0,0,Coleoptera
SRR4417701,3235,12,0,0,Coleoptera
SRR6949475,27675,0,0,0,Lepidoptera
SRR6998925,4501,0,0,0,Lepidoptera
SRR7441511,15111,0,0,0,Lepidoptera
SRR7110406,104319,59,0,0,Diptera
SRR7110407,106847,0,2,0,Diptera
SRR11795858,9633,0,0,0,Lepidoptera
SRR11795859,10846,0,0,0,Lepidoptera
SRR11795860,6643,0,0,0,Lepidoptera
SRR11795861,23441,0,0,0,Lepidoptera
SRR11795862,15364,0,0,0,Lepidoptera
SRR11795863,4364,0,0,0,Lepidoptera
SRR11795864,5535,0,0,0,Lepidoptera
SRR11795865,5962,0,0,0,Lepidoptera
SRR11795866,20204,0,0,0,Lepidoptera
SRR11795867,22000,0,0,0,Lepidoptera
SRR11795868,12968,0,0,0,Lepidoptera
SRR11795869,17279,67,0,0,Lepidoptera
SRR11795870,17402,155,0,0,Lepidoptera
SRR11795871,19838,0,0,0,Lepidoptera
SRR11795872,23312,0,0,0,Lepidoptera
SRR11795873,4094,0,0,0,Lepidoptera
