RUN	shannon_entropy
SRR6473731	2.7347046140377267
SRR6473732	2.832065421217932
SRR6473733	3.619274994597864
SRR6473734	3.0423246942911306
SRR6473859	0.2487745233308285
SRR6473860	0.4738155086382818
SRR6473861	0.5998283126232588
SRR6473862	1.195726746777795
SRR6473863	0.5233991324521816
SRR6473864	0.5597718366668941
SRR6473865	0.9906562694929786
SRR6473866	1.002245159926085
SRR6473867	1.3962279376604794
SRR6473868	0.6780446651304488
SRR6473869	0.2990065777216769
SRR6473870	0.4448736775929784
SRR6473871	0.5246723203843234
SRR6473872	0.4819894448016915
SRR6473873	0.6418769048155047
SRR6473874	1.146768831402624
SRR6473875	0.7749503664079538
SRR6473877	0.9670211173243016
SRR6473878	0.8849272200994921
SRR6473879	0.5235844710556566
SRR6473880	0.7375902811624273
SRR6473881	0.0062040592958316
SRR6473882	0.0062040592958316
SRR6473883	0.0286392423790713
SRR6473884	0.0502694453060674
SRR6473885	-0.0
SRR6473886	0.8806788440000576
SRR6473887	-0.0
SRR6473888	0.5625891336568215
SRR6473889	0.9157896665914196
SRR6473890	0.4927977883997146
SRR6473891	0.4770749071788723
SRR6473892	0.5004721224217487
SRR6473894	2.697686111681648
SRR6473895	1.9907120833430216
SRR6473896	2.8947496539314903
SRR6473897	0.0062040592958316
SRR6473899	0.4212683001491416
SRR6473900	0.4091874050295284
SRR6473901	0.4426058277433894
SRR6473902	0.6887498056988564
SRR6473903	0.4496822131225
SRR6473904	0.4314430953150709
SRR6473905	0.0414400963339782
SRR6473906	0.4912431980724786
SRR6473907	0.0366160105677472
SRR6473908	0.3824966939174397
SRR6473909	0.5735180721794813
SRR6473910	-0.0
SRR6473911	0.5510344746425981
SRR6473912	0.5379232310513297
SRR6473913	-0.0
SRR6473915	0.8282516400433416
SRR6473916	0.0176110951442803
SRR6473917	0.4227524218172223
SRR6473918	1.3083254580424857
SRR6473919	0.3133916126646087
SRR6473920	0.7832044302828898
SRR6473921	0.7025162501346821
SRR6473922	0.5752611172849654
SRR6473923	0.5621693274662795
SRR6473924	0.4861915726030472
SRR6473925	0.8023413531005292
SRR6473926	0.930903356554227
SRR6473927	-0.0
SRR6473928	0.5050965096523999
SRR6473929	0.2029837665450549
SRR6473930	0.6769558009130721
SRR6473932	1.126668355823941
SRR6473933	1.8113176672991935
