RUN	pielou_evenness	shannon_entropy
SRR13839693	0.6557025904258107	1.840789894637821
SRR13839694	0.6534299256431417	1.960289776929425
SRR13839695	0.7016212063961914	1.8136645082448928
SRR13839696	0.6531333944025257	1.833577249536121
SRR13839697	0.55222559425739	1.4274824530938095
SRR13839698	0.8429031580058872	1.6858063160117744
SRR13839699	0.6893507508483908	1.3787015016967816
SRR13839700	0.9800302358597728	0.9800302358597728
SRR13839701	0.1331892910691427	0.2663785821382854
SRR13839702	0.8690220700915235	1.377367393394137
SRR13839703	0.8590488048692905	1.718097609738581
SRR13839704	0.6461380758647464	0.6461380758647464
SRR13839705	0.6038077058668831	0.9570125714454796
SRR13839706	0.4947161485805701	1.3888438147390445
SRR13839707	0.8901780845393639	1.4108988829586793
SRR13839708	0.5263361609609669	0.8342230778966672
SRR13839709	0.6844113822777026	1.3688227645554052
SRR13839710	0.9752715747434396	1.9505431494868792
SRR13839711	0.7701560945924142	1.5403121891848284
SRR13839713	0.6352390399112332	1.0068300572534148
SRR13839714	0.3010826454060687	0.3010826454060687
SRR13839715	0.8003503203667871	1.6007006407335742
SRR13839716	0.033595088577764	0.033595088577764
SRR13839717	0.8136295817357189	2.28414701101744
SRR13839718	0.8543466712784593	2.208454107870762
SRR13839719	0.9124191977777644	2.358569411193601
SRR13839720	0.841139745896498	2.361377805780816
SRR13839721	0.8719362095770004	1.7438724191540007
SRR13839722	0.8306277922796682	2.331867021054168
SRR13839723	0.7644171948091486	2.14599037435293
SRR13839724	0.9526101220313072	1.9052202440626147
SRR13839725		-0.0
SRR13839727	0.756962681557874	1.9567201462724344
SRR13839728	0.6805215312118337	1.3610430624236671
SRR13839729	0.757758110249216	2.127295960537205
SRR13839730	0.6170521354514319	1.851156406354296
SRR13839731	0.7279853669429079	2.183956100828724
SRR13839732	0.819171339420238	2.117527194066837
SRR13839733	0.4352831406294053	1.0106961534582228
SRR13839734	0.7922439668626594	1.5844879337253188
SRR13839735	0.646954048290532	1.293908096581064
SRR13839736	0.4021791902022729	0.4021791902022729
SRR13839737	0.2952237827440307	0.4679186249703382
SRR13839738	0.4551355528057575	0.910271105611515
SRR13839739	0.7867924493619296	1.2470365280892075
SRR13839740	0.852624228400205	1.70524845680041
SRR13839741	0.8931734583778568	0.8931734583778568
SRR13839742	0.7046282462924892	1.6360961215177423
SRR13839744	0.6894707035583589	1.6009013971939097
SRR13839745	0.5160375416417543	1.1982020659545964
SRR13839746	0.9973141987833573	0.9973141987833573
SRR13839747	0.6144403720706049	1.4266863625437816
SRR6684160	0.6742938545814913	2.0228815637444737
SRR6684161	0.761092499649583	1.9673955711743016
SRR6684162	0.8589567618799745	2.2203710192006056
SRR6684163	0.8473463425230475	2.378801925369586
SRR6684164	0.7165864511737794	2.149759353521338
SRR6684165	0.6381672406113693	1.791561944026247
SRR6684166	0.6323219324104724	1.6345284836646086
SRR6684167	0.7532146436450543	2.259643930935163
SRR6684168	0.7627164429360982	1.9715934036732408
SRR6684169	0.789880700352833	2.0418119904554377
SRR6684170	0.7241105808761837	1.871798697940349
SRR6684171	0.6653982193473359	1.7200294450594935
SRR6684172	0.7525981667463869	2.257794500239161
SRR6684173	0.7330182279674352	2.0578423302423223
SRR6684174	0.7205225991499113	1.8625238997246616
SRR6684175	0.7556252836725358	2.2668758510176072
SRR6684176	0.69819004422624	1.9600672571901512
SRR6684177	0.8224369272445884	2.308872355782027
SRR6684178	0.7827115237877172	2.348134571363152
SRR6684179	0.8176608220294135	2.2954641332979406
SRR6684180	0.8684981817149849	2.2450352316777447
SRR6684181	0.8586394028077258	2.219550657899579
SRR6684182	0.8308388955978023	1.929148174013725
SRR6684183	0.6905086802032097	1.9385029420919808
SRR6684184	0.7703827162789861	1.7887732727438177
SRR6684185	0.8149932812338412	2.2879753995157013
SRR6684186	0.7835674904685156	2.199752051131112
SRR6684187	0.8385229057484231	2.35403140671088
SRR6684188	0.8152134163347843	2.4456402490043527
SRR6684189	0.887908415667841	2.295209958576102
SRR6684190	0.8773269377681365	2.0370900652053328
